Subject,Condition,Side,Ablation
SUBJ-ID-1043,Ibotenic Acid (IC),L,14.13528201
SUBJ-ID-1047,Ibotenic Acid (IC),L,20.67002892
SUBJ-ID-1048,Ibotenic Acid (IC),L,27.02427825
SUBJ-ID-1128,Ibotenic Acid (IC),L,9.836329984
SUBJ-ID-961,Ibotenic Acid (IC),L,20.02556356
SUBJ-ID-962,Ibotenic Acid (IC),L,11.72554803
SUBJ-ID-1003,Saline (IC),L,0
SUBJ-ID-1042,Saline (IC),L,3.620774609
SUBJ-ID-1088,Saline (IC),L,12.49369108
SUBJ-ID-1089,Saline (IC),L,8.994940257
SUBJ-ID-1137,Saline (IC),L,0
SUBJ-ID-1138,Saline (IC),L,5.698588865
SUBJ-ID-951,Saline (IC),L,3.582331515
SUBJ-ID-1031,drGFP-Cre (IC) + Casp3 (ACx),L,13.23875539
SUBJ-ID-1090,drGFP-Cre (IC) + Casp3 (ACx),L,16.48353599
SUBJ-ID-1122,drGFP-Cre (IC) + Casp3 (ACx),L,20.45973088
SUBJ-ID-1142,drGFP-Cre (IC) + Casp3 (ACx),L,36.83040955
SUBJ-ID-1143,drGFP-Cre (IC) + Casp3 (ACx),L,55.79475754
SUBJ-ID-986,drGFP-Cre (IC) + Casp3 (ACx),L,13.52912166
SUBJ-ID-987,drGFP-Cre (IC) + Casp3 (ACx),L,18.04421352
SUBJ-ID-996,drGFP-Cre (IC) + Casp3 (ACx),L,9.320578337
SUBJ-ID-1032,drGFP-Cre (IC) + Saline (ACx),L,9.300621377
SUBJ-ID-1063,drGFP-Cre (IC) + Saline (ACx),L,8.730297444
SUBJ-ID-1073,drGFP-Cre (IC) + Saline (ACx),L,8.487228356
SUBJ-ID-1123,drGFP-Cre (IC) + Saline (ACx),L,4.982930156
SUBJ-ID-1129,drGFP-Cre (IC) + Saline (ACx),L,1.50951537
SUBJ-ID-1130,drGFP-Cre (IC) + Saline (ACx),L,11.05098802
SUBJ-ID-1148,drGFP-Cre (IC) + Saline (ACx),L,13.42873812
SUBJ-ID-1149,drGFP-Cre (IC) + Saline (ACx),L,7.371922941
SUBJ-ID-1043,Ibotenic Acid (IC),R,12.47829417
SUBJ-ID-1047,Ibotenic Acid (IC),R,14.17288544
SUBJ-ID-1048,Ibotenic Acid (IC),R,28.96030433
SUBJ-ID-1128,Ibotenic Acid (IC),R,17.84215064
SUBJ-ID-961,Ibotenic Acid (IC),R,19.12157248
SUBJ-ID-962,Ibotenic Acid (IC),R,14.67563421
SUBJ-ID-1003,Saline (IC),R,4.118428444
SUBJ-ID-1042,Saline (IC),R,1.637771552
SUBJ-ID-1088,Saline (IC),R,5.965577493
SUBJ-ID-1089,Saline (IC),R,7.446881509
SUBJ-ID-1137,Saline (IC),R,14.1611646
SUBJ-ID-1138,Saline (IC),R,2.301045432
SUBJ-ID-951,Saline (IC),R,0
SUBJ-ID-1031,drGFP-Cre (IC) + Casp3 (ACx),R,16.31514152
SUBJ-ID-1090,drGFP-Cre (IC) + Casp3 (ACx),R,17.15979176
SUBJ-ID-1122,drGFP-Cre (IC) + Casp3 (ACx),R,27.46208403
SUBJ-ID-1142,drGFP-Cre (IC) + Casp3 (ACx),R,18.12668869
SUBJ-ID-1143,drGFP-Cre (IC) + Casp3 (ACx),R,13.56617647
SUBJ-ID-986,drGFP-Cre (IC) + Casp3 (ACx),R,24.71220234
SUBJ-ID-987,drGFP-Cre (IC) + Casp3 (ACx),R,13.1606881
SUBJ-ID-996,drGFP-Cre (IC) + Casp3 (ACx),R,30.76904802
SUBJ-ID-1032,drGFP-Cre (IC) + Saline (ACx),R,4.048084777
SUBJ-ID-1063,drGFP-Cre (IC) + Saline (ACx),R,12.00532323
SUBJ-ID-1073,drGFP-Cre (IC) + Saline (ACx),R,0.7446033087
SUBJ-ID-1123,drGFP-Cre (IC) + Saline (ACx),R,11.34848109
SUBJ-ID-1129,drGFP-Cre (IC) + Saline (ACx),R,3.16790415
SUBJ-ID-1130,drGFP-Cre (IC) + Saline (ACx),R,7.159503836
SUBJ-ID-1148,drGFP-Cre (IC) + Saline (ACx),R,16.52881233
SUBJ-ID-1149,drGFP-Cre (IC) + Saline (ACx),R,11.2392807
