Subject,Condition,Starting_threshold,Best_threshold,Learning_rate,FA_rate,L_ablation,R_ablation,Total_ablation
SUBJ-ID-1043,Ibotenic Acid (IC),-6.99658283628014,-10.8444414217536,-2.68313831871714,8.24174286862641,14.13528201,12.47829417,13.55266032
SUBJ-ID-1047,Ibotenic Acid (IC),-10.548019440101,-17.9920066462049,-5.16910497978477,5.98532149949517,20.67002892,14.17288544,17.47364546
SUBJ-ID-1048,Ibotenic Acid (IC),-9.2190585090582,-15.8252522336609,-4.81317199944292,7.7885045072783,27.02427825,28.96030433,27.99231479
SUBJ-ID-1128,Ibotenic Acid (IC),-10.9561232344402,-19.0168377761116,-6.74922445640078,4.81625753860788,9.836329984,17.84215064,13.90142007
SUBJ-ID-961,Ibotenic Acid (IC),-11.3977162067646,-15.3840594031109,-2.8303930382681,6.97186625580059,20.02556356,19.12157248,19.57185744
SUBJ-ID-962,Ibotenic Acid (IC),-6.13168224632007,-13.756759342229,-5.40146053048081,7.09532551898278,11.72554803,14.67563421,13.33748374
SUBJ-ID-1003,Saline (IC),-9.66964307607062,-18.3906296588483,-5.02732994192337,8.93909109981436,0,4.118428444,1.981875744
SUBJ-ID-1042,Saline (IC),-13.5812212158876,-16.9737871999107,-4.7917686834063,7.33112952515523,3.620774609,1.637771552,2.661408901
SUBJ-ID-1088,Saline (IC),-13.8294698859568,-19.8301637777333,-3.3966281622658,4.0209625483962,12.49369108,5.965577493,9.523627043
SUBJ-ID-1089,Saline (IC),-10.4293640070888,-15.1108281083306,-0.794616941472692,2.26386851392639,8.994940257,7.446881509,8.178203545
SUBJ-ID-1137,Saline (IC),-13.6680778257959,-19.2497462592379,-5.9787826070679,5.30970015127855,0,14.1611646,7.307291698
SUBJ-ID-1138,Saline (IC),-11.7643073250369,-17.6883484661743,-5.5904211185126,3.66889298646417,5.698588865,2.301045432,4.071447185
SUBJ-ID-951,Saline (IC),-12.0272915655803,-18.4179139193781,-1.98565236007818,4.96758331872822,3.582331515,0,2.083236953
SUBJ-ID-1031,drGFP-Cre (IC) + Casp3 (ACx),-9.69824736679994,-18.5540064561497,-5.55718862623204,3.8954550249213,13.23875539,16.31514152,14.77694845
SUBJ-ID-1090,drGFP-Cre (IC) + Casp3 (ACx),-13.1690683673007,-24.8187334778962,-5.49624208585095,6.0196237750971,16.48353599,17.15979176,16.82166387
SUBJ-ID-1122,drGFP-Cre (IC) + Casp3 (ACx),-10.0074976611113,-17.5496246441049,-7.35076327184517,5.66311662493189,20.45973088,27.46208403,23.96090745
SUBJ-ID-1142,drGFP-Cre (IC) + Casp3 (ACx),-9.120040223875,-17.0571918161251,-4.90078262793058,2.99452036591466,36.83040955,18.12668869,27.47854912
SUBJ-ID-1143,drGFP-Cre (IC) + Casp3 (ACx),-7.68175290635024,-13.2463099996817,-4.52495893753815,4.97545498095582,55.79475754,13.56617647,34.680467
SUBJ-ID-986,drGFP-Cre (IC) + Casp3 (ACx),-10.8039140121345,-18.466441035308,-9.28455760970899,7.36230233309419,13.52912166,24.71220234,18.00235393
SUBJ-ID-987,drGFP-Cre (IC) + Casp3 (ACx),-7.3237561549141,-20.0328871651987,-9.16131309660501,13.1606881,18.04421352,13.1606881,15.60245081
SUBJ-ID-996,drGFP-Cre (IC) + Casp3 (ACx),-7.59990855414144,-17.8961854153989,-8.54822782792508,3.54344159109833,9.320578337,30.76904802,20.04481318
SUBJ-ID-1032,drGFP-Cre (IC) + Saline (ACx),-7.97194224996108,-16.8681060206055,-7.14361695220011,2.56737434640781,9.300621377,4.048084777,6.674353077
SUBJ-ID-1063,drGFP-Cre (IC) + Saline (ACx),-11.6894944443355,-20.6915832523851,-6.00454740369735,4.88096815029774,8.730297444,12.00532323,10.36781034
SUBJ-ID-1073,drGFP-Cre (IC) + Saline (ACx),-13.6382660213266,-17.0197399189553,-4.89577711425356,4.01462814300002,8.487228356,0.7446033087,4.615915833
SUBJ-ID-1123,drGFP-Cre (IC) + Saline (ACx),-10.2479343544499,-17.3996078333248,-6.94160277315758,3.15949016076632,4.982930156,11.34848109,8.802260715
SUBJ-ID-1129,drGFP-Cre (IC) + Saline (ACx),-10.7508945491706,-22.8685665447998,-10.830993323755,8.13683831807632,1.50951537,3.16790415,2.33870976
SUBJ-ID-1130,drGFP-Cre (IC) + Saline (ACx),-10.8417306833534,-18.2920515310898,-10.5329051962278,5.92261420640476,11.05098802,7.159503836,8.716097508
SUBJ-ID-1148,drGFP-Cre (IC) + Saline (ACx),-10.5900886450968,-16.8083052322455,-4.99655354549704,7.1364459975927,13.42873812,16.52881233,14.97877522
SUBJ-ID-1149,drGFP-Cre (IC) + Saline (ACx),-14.8760046057361,-18.7195185228544,-1.92285879932419,6.86768244908621,7.371922941,11.2392807,9.305601818
